employee_id,text
1,Le télétravail améliore ma concentration et réduit mon stress.
2,Je me sens isolé de mes collègues.
3,J'apprécie la flexibilité pour gérer ma journée.
4,"Les outils ne sont pas toujours adaptés, ce qui ralentit mon travail."
5,C'est génial de pouvoir travailler de chez moi sans perdre du temps en déplacement.
6,Je ressens un manque de communication dans l'équipe.
7,Mon bien-être s'est nettement amélioré avec le télétravail.
8,Les frontières entre vie professionnelle et personnelle sont floues.
9,Je peux organiser mon temps libre plus facilement.
10,Les réunions virtuelles sont moins efficaces que les réunions en présentiel.
11,Je me sens plus productif sans les distractions du bureau.
12,Je ressens une fatigue liée à l'utilisation constante des écrans.
13,"Je suis globalement satisfait, mais il manque des opportunités de collaboration spontanée."
14,Le télétravail m'aide à rester concentré sur mes objectifs.
15,C'est difficile de maintenir une motivation constante.
16,Je trouve les conditions de travail excellentes en télétravail.
17,Les formations en ligne ne sont pas toujours de bonne qualité.
18,La flexibilité est un énorme avantage.
19,Il y a des difficultés techniques fréquentes.
20,"Je suis globalement satisfait, mais je souhaite plus d'interactions sociales."
